location_id,city,state,postal_code,region
"32303,Tallahassee",Tallahassee,Florida,32303,South
"84084,West Jordan",West Jordan,Utah,84084,West
"78550,Harlingen",Harlingen,Texas,78550,Central
"6010,Bristol",Bristol,Connecticut,6010 ,East
"92627,Costa Mesa",Costa Mesa,California,92627,West
"48185,Westland",Westland,Michigan,48185,Central
"35630,Florence",Florence,Alabama,35630,South
"64055,Independence",Independence,Missouri,64055,Central
"33134,Coral Gables",Coral Gables,Florida,33134,South
"95051,Santa Clara",Santa Clara,California,95051,West
"27405,Greensboro",Greensboro,North Carolina,27405,South
"53142,Kenosha",Kenosha,Wisconsin,53142,Central
"80122,Littleton",Littleton,Colorado,80122,West
"44107,Lakewood",Lakewood,Ohio,44107,East
"44134,Parma",Parma,Ohio,44134,East
"60025,Glenview",Glenview,Illinois,60025,Central
"98006,Bellevue",Bellevue,Washington,98006,West
"2886,Warwick",Warwick,Rhode Island,2886 ,East
"98632,Longview",Longview,Washington,98632,West
"89431,Sparks",Sparks,Nevada,89431,West
"75023,Plano",Plano,Texas,75023,Central
"13021,Auburn",Auburn,New York,13021,East
"71603,Pine Bluff",Pine Bluff,Arkansas,71603,South
"42104,Bowling Green",Bowling Green,Kentucky,42104,South
"98115,Seattle",Seattle,Washington,98115,West
"30344,East Point",East Point,Georgia,30344,South
"97123,Hillsboro",Hillsboro,Oregon,97123,West
"7036,Linden",Linden,New Jersey,7036 ,East
"94061,Redwood City",Redwood City,California,94061,West
"05408,Burlington",Burlington,Vermont,5408 ,East
"10801,New Rochelle",New Rochelle,New York,10801,East
"60188,Carol Stream",Carol Stream,Illinois,60188,Central
"91761,Ontario",Ontario,California,91761,West
"20735,Clinton",Clinton,Maryland,20735,East
"27707,Durham",Durham,North Carolina,27707,South
"42420,Henderson",Henderson,Kentucky,42420,South
"98103,Seattle",Seattle,Washington,98103,West
"72401,Jonesboro",Jonesboro,Arkansas,72401,South
"68104,Omaha",Omaha,Nebraska,68104,Central
"73071,Norman",Norman,Oklahoma,73071,Central
"37087,Lebanon",Lebanon,Tennessee,37087,South
"77642,Port Arthur",Port Arthur,Texas,77642,Central
"90660,Pico Rivera",Pico Rivera,California,90660,West
"29501,Florence",Florence,South Carolina,29501,South
"75002,Allen",Allen,Texas,75002,Central
"92672,San Clemente",San Clemente,California,92672,West
"55124,Apple Valley",Apple Valley,Minnesota,55124,Central
"53132,Franklin",Franklin,Wisconsin,53132,Central
"78666,San Marcos",San Marcos,Texas,78666,Central
"85204,Mesa",Mesa,Arizona,85204,West
"77036,Houston",Houston,Texas,77036,Central
"38109,Memphis",Memphis,Tennessee,38109,South
"60505,Aurora",Aurora,Illinois,60505,Central
"84106,Salt Lake City",Salt Lake City,Utah,84106,West
"8861,Perth Amboy",Perth Amboy,New Jersey,8861 ,East
"32137,Palm Coast",Palm Coast,Florida,32137,South
"7017,East Orange",East Orange,New Jersey,7017 ,East
"60540,Naperville",Naperville,Illinois,60540,Central
"59102,Billings",Billings,Montana,59102,West
"46368,Portage",Portage,Indiana,46368,Central
"78501,Mcallen",Mcallen,Texas,78501,Central
"93905,Salinas",Salinas,California,93905,West
"1852,Lowell",Lowell,Massachusetts,1852 ,East
"57701,Rapid City",Rapid City,South Dakota,57701,Central
"47362,New Castle",New Castle,Indiana,47362,Central
"49423,Holland",Holland,Michigan,49423,Central
"70506,Lafayette",Lafayette,Louisiana,70506,South
"27360,Thomasville",Thomasville,North Carolina,27360,South
"60068,Park Ridge",Park Ridge,Illinois,60068,Central
"95207,Stockton",Stockton,California,95207,West
"68701,Norfolk",Norfolk,Nebraska,68701,Central
"35401,Tuscaloosa",Tuscaloosa,Alabama,35401,South
"37604,Johnson City",Johnson City,Tennessee,37604,South
"23434,Suffolk",Suffolk,Virginia,23434,South
"59715,Bozeman",Bozeman,Montana,59715,West
"93309,Bakersfield",Bakersfield,California,93309,West
"60004,Arlington Heights",Arlington Heights,Illinois,60004,Central
"20707,Laurel",Laurel,Maryland,20707,East
"70065,Kenner",Kenner,Louisiana,70065,South
"27217,Burlington",Burlington,North Carolina,27217,South
"2151,Revere",Revere,Massachusetts,2151 ,East
"92677,Laguna Niguel",Laguna Niguel,California,92677,West
"47150,New Albany",New Albany,Indiana,47150,Central
"79762,Odessa",Odessa,Texas,79762,Central
"84604,Provo",Provo,Utah,84604,West
"28540,Jacksonville",Jacksonville,North Carolina,28540,South
"19134,Philadelphia",Philadelphia,Pennsylvania,19134,East
"92553,Moreno Valley",Moreno Valley,California,92553,West
"8901,New Brunswick",New Brunswick,New Jersey,8901 ,East
"61604,Peoria",Peoria,Illinois,61604,Central
"2895,Woonsocket",Woonsocket,Rhode Island,2895 ,East
"97206,Portland",Portland,Oregon,97206,West
