order_id;order_date;ship_date;ship_mode;customer_id;sales_rep;location_id;product_id;sales;quantity;discount;profit;order_serial_id
CA-2016-152156;2016-11-08;2016-11-11;Second Class;CG-12520;Organic;42420,Henderson;FUR-BO-10001798;261.96;2;0.0;41.91;1
CA-2016-152156;2016-11-08;2016-11-11;Second Class;CG-12520;Organic;42420,Henderson;FUR-CH-10000454;731.94;3;0.0;219.58;2
CA-2016-138688;2016-06-12;2016-06-16;Second Class;DV-13045;Steve Pepple;90036,Los Angeles;OFF-LA-10000240;14.62;2;0.0;6.87;3
US-2015-108966;2015-10-11;2015-10-18;Standard Class;SO-20335;Organic;33311,Fort Lauderdale;FUR-TA-10000577;957.58;5;0.45;-383.03;4
US-2015-108966;2015-10-11;2015-10-18;Standard Class;SO-20335;Organic;33311,Fort Lauderdale;OFF-ST-10000760;22.37;2;0.2;2.52;5
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;FUR-FU-10001487;48.86;7;0.0;14.17;6
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;OFF-AR-10002833;7.28;4;0.0;1.97;7
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;TEC-PH-10002275;907.15;6;0.2;90.72;8
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;OFF-BI-10003910;18.5;3;0.2;5.78;9
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;OFF-AP-10002892;114.9;5;0.0;34.47;10
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;FUR-TA-10001539;1706.18;9;0.2;85.31;11
CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Organic;90032,Los Angeles;TEC-PH-10002033;911.42;4;0.2;68.36;12
CA-2017-114412;2017-04-15;2017-04-20;Standard Class;AA-10480;Organic;28027,Concord;OFF-PA-10002365;15.55;3;0.2;5.44;13
CA-2016-161389;2016-12-05;2016-12-10;Standard Class;IM-15070;Organic;98103,Seattle;OFF-BI-10003656;407.98;3;0.2;132.59;14
US-2015-118983;2015-11-22;2015-11-26;Standard Class;HP-14815;Alan Ray;76106,Fort Worth;OFF-AP-10002311;68.81;5;0.8;-123.86;15
US-2015-118983;2015-11-22;2015-11-26;Standard Class;HP-14815;Organic;76106,Fort Worth;OFF-BI-10000756;2.54;3;0.8;-3.82;16
CA-2014-105893;2014-11-11;2014-11-18;Standard Class;PK-19075;Organic;53711,Madison;OFF-ST-10004186;665.88;6;0.0;13.32;17
CA-2014-167164;2014-05-13;2014-05-15;Second Class;AG-10270;Organic;84084,West Jordan;OFF-ST-10000107;55.5;2;0.0;9.99;18
CA-2014-143336;2014-08-27;2014-09-01;Second Class;ZD-21925;Organic;;OFF-AR-10003056;8.56;2;0.0;2.48;19
CA-2014-143336;2014-08-27;2014-09-01;Second Class;ZD-21925;Organic;94109,San Francisco;TEC-PH-10001949;213.48;3;0.2;16.01;20
CA-2014-143336;2014-08-27;2014-09-01;Second Class;ZD-21925;Organic;94109,San Francisco;OFF-BI-10002215;22.72;4;0.2;7.38;21
CA-2016-137330;2016-12-09;2016-12-13;Standard Class;KB-16585;Steve Pepple;68025,Fremont;OFF-AR-10000246;19.46;7;0.0;5.06;22
CA-2016-137330;2016-12-09;2016-12-13;Standard Class;KB-16585;Morris Garcia;68025,Fremont;OFF-AP-10001492;60.34;7;0.0;15.69;23
