Episode,Titre,Date,Note IMDb,Description
Épisode 1,S4.E1 ∙ The One with the Jellyfish,"jeu., 25 sept. 1997","8,9/10","Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach."
Épisode 2,S4.E2 ∙ The One with the Cat,"jeu., 2 oct. 1997","7,9/10",Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.
Épisode 3,S4.E3 ∙ The One with the 'Cuffs,"jeu., 9 oct. 1997","8,4/10",Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.
Épisode 4,S4.E4 ∙ The One with the Ballroom Dancing,"jeu., 16 oct. 1997","8,0/10",Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.
Épisode 5,S4.E5 ∙ The One with Joey's New Girlfriend,"jeu., 30 oct. 1997","8,2/10",Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.
Épisode 6,S4.E6 ∙ The One with the Dirty Girl,"jeu., 6 nov. 1997","8,4/10",Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.
Épisode 7,S4.E7 ∙ The One Where Chandler Crosses the Line,"jeu., 13 nov. 1997","8,6/10",Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.
Épisode 8,S4.E8 ∙ The One with Chandler in a Box,"jeu., 20 nov. 1997","9,0/10",Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.
Épisode 9,S4.E9 ∙ The One Where They're Going to Party!,"jeu., 11 déc. 1997","7,7/10",Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.
Épisode 10,S4.E10 ∙ The One with the Girl from Poughkeepsie,"jeu., 18 déc. 1997","7,9/10","In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls."
Épisode 11,S4.E11 ∙ The One with Phoebe's Uterus,"jeu., 8 janv. 1998","8,4/10",Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.
Épisode 12,S4.E12 ∙ The One with the Embryos,"jeu., 15 janv. 1998","9,4/10","Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher."
Épisode 13,S4.E13 ∙ The One with Rachel's Crush,"jeu., 29 janv. 1998","8,0/10","After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'."
Épisode 14,S4.E14 ∙ The One with Joey's Dirty Day,"jeu., 5 févr. 1998","8,1/10","Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him."
Épisode 15,S4.E15 ∙ The One with All the Rugby,"jeu., 26 févr. 1998","8,3/10","Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch."
Épisode 16,S4.E16 ∙ The One with the Fake Party,"jeu., 19 mars 1998","8,0/10",Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.
Épisode 17,S4.E17 ∙ The One with the Free Porn,"jeu., 26 mars 1998","8,5/10",Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.
Épisode 18,S4.E18 ∙ The One with Rachel's New Dress,"jeu., 2 avr. 1998","8,1/10",Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.
Épisode 19,S4.E19 ∙ The One with All the Haste,"jeu., 9 avr. 1998","8,6/10",Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.
Épisode 20,S4.E20 ∙ The One with All the Wedding Dresses,"jeu., 16 avr. 1998","8,4/10","Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring."
Épisode 21,S4.E21 ∙ The One with the Invitation,"jeu., 23 avr. 1998","6,9/10","As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life."
