Title,Date,Description,Note IMDb,VoteCount
S7.E1 ∙ The One with Monica's Thunder,"jeu., 12 oct. 2000",They all celebrate Monica and Chandler's engagement but Ross and Rachel upstage them by kissing. Joey dresses and acts like a nineteen-year-old for a role and Phoebe tries to persuade Monica and Chandler to let her sing at their wedding.,"8,2/10","(5,3 k)"
S7.E2 ∙ The One with Rachel's Book,"jeu., 12 oct. 2000","Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.","8,1/10","(4,9 k)"
S7.E3 ∙ The One with Phoebe's Cookies,"jeu., 19 oct. 2000","Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.","7,9/10","(4,9 k)"
S7.E4 ∙ The One with Rachel's Assistant,"jeu., 26 oct. 2000","Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".","7,9/10","(4,9 k)"
S7.E5 ∙ The One with the Engagement Picture,"jeu., 2 nov. 2000","Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.","7,9/10","(4,9 k)"
S7.E6 ∙ The One with the Nap Partners,"jeu., 9 nov. 2000","Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.","8,7/10","(5,7 k)"
S7.E7 ∙ The One with Ross's Library Book,"jeu., 16 nov. 2000","Ross and Chandler discover a section of the library where students go to have sex. Monica and Chandler run into Janice and she invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend.","8,3/10",(5 k)
S7.E8 ∙ The One Where Chandler Doesn't Like Dogs,"jeu., 23 nov. 2000","Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.","8,0/10","(4,8 k)"
S7.E9 ∙ The One with All the Candy,"jeu., 7 déc. 2000","Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.","7,9/10","(4,8 k)"
S7.E10 ∙ The One with the Holiday Armadillo,"jeu., 14 déc. 2000","Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.","8,4/10","(5,3 k)"
S7.E11 ∙ The One with All the Cheesecakes,"jeu., 4 janv. 2001",Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,"8,4/10","(5,1 k)"
S7.E12 ∙ The One Where They're Up All Night,"jeu., 11 janv. 2001","After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.","8,5/10","(5,2 k)"
S7.E13 ∙ The One Where Rosita Dies,"jeu., 1 févr. 2001",Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,"8,2/10","(4,9 k)"
S7.E14 ∙ The One Where They All Turn Thirty,"jeu., 8 févr. 2001",Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,"8,4/10","(5,2 k)"
S7.E15 ∙ The One with Joey's New Brain,"jeu., 15 févr. 2001",Joey's character on Days of Our Lives wakes up from his coma with a brain transplant from one of the show's legendary characters. Ross practices the bagpipes for Monica and Chandler's wedding. Phoebe and Rachel compete for the same man.,"8,2/10",(5 k)
S7.E16 ∙ The One with the Truth About London,"jeu., 22 févr. 2001","Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.","8,6/10","(5,2 k)"
S7.E17 ∙ The One with the Cheap Wedding Dress,"jeu., 15 mars 2001","Monica has to decide between her wedding dress and the band Chandler wants for the wedding. Joey and Ross date the same girl, and they both try to fight for her attention.","8,2/10","(4,8 k)"
S7.E18 ∙ The One with Joey's Award,"jeu., 29 mars 2001",Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home.,"8,2/10","(4,9 k)"
S7.E19 ∙ The One with Ross and Monica's Cousin,"jeu., 19 avr. 2001",Joey auditions for a naked role in a big movie but the role becomes more complicated than he thought it would be. Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,"8,5/10","(5,4 k)"
S7.E20 ∙ The One with Rachel's Big Kiss,"jeu., 26 avr. 2001",Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,"8,2/10",(5 k)
S7.E21 ∙ The One with the Vows,"jeu., 3 mai 2001","Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.","7,2/10","(4,9 k)"
S7.E22 ∙ The One with Chandler's Dad,"jeu., 10 mai 2001",Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,"8,2/10",(5 k)
S7.E23 ∙ The One with Monica and Chandler's Wedding: Part 1,"jeu., 17 mai 2001","So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.","8,7/10","(5,5 k)"
S7.E24 ∙ The One with Monica and Chandler's Wedding: Part 2,"jeu., 17 mai 2001",Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,"9,1/10","(6,3 k)"
